SA3_NAME16,Population
Narangba - Burpengary,72334
Redcliffe,65627
The Hills District,92325
North Lakes,93051
Strathpine,41068
Far North,33154
Outback - North,31104
Outback - South,17433
Buderim,60678
Caloundra,100144
Maroochy,65410
Noosa,47603
Sunshine Coast Hinterland,62342
Nambour,52018
Noosa Hinterland,25023
Toowoomba,167199
Charters Towers - Ayr - Ingham,42088
Townsville,198188
Bundaberg,96528
Burnett,50790
Gympie - Cooloola,55015
Hervey Bay,66032
Maryborough,49135
Adelaide City,26141
Adelaide Hills,82134
Burnside,46694
Campbelltown (SA),56390
Norwood - Payneham - St Peters,38005
Prospect - Walkerville,30926
Unley,39082
Gawler - Two Wells,39495
Playford,104161
Port Adelaide - East,79031
Salisbury,146635
Tea Tree Gully,98039
Holdfast Bay,36198
Marion,98246
Mitcham,67031
Onkaparinga,179882
Charles Sturt,121441
Port Adelaide - West,62207
West Torrens,66492
Barossa,39272
Lower North,23205
Mid North,27713
Yorke Peninsula,27582
Eyre Peninsula and South West,58966
Outback - North and East,26590
Fleurieu - Kangaroo Island,57560
Limestone Coast,68777
Murray and Mallee,73305
Augusta - Margaret River - Busselton,60692
Bunbury,112578
Manjimup,24867
Mandurah,113921
Cottesloe - Claremont,74693
Perth City,116127
Bayswater - Bassendean,87991
Mundaring,45601
Swan,158639
Joondalup,166314
Stirling,217180
Wanneroo,220334
Armadale,100768
Belmont - Victoria Park,79066
Canning,102995
Gosnells,132915
Kalamunda,61256
Serpentine - Jarrahdale,34833
South Perth,45180
Cockburn,122853
Fremantle,41964
Kwinana,49500
Melville,109927
Rockingham,143653
Albany,64408
Wheat Belt - North,58397
Wheat Belt - South,19926
Kimberley,38925
East Pilbara,27319
West Pilbara,31621
Esperance,16700
Gascoyne,10099
Goldfields,40259
Mid West,57647
Brighton,20304
Hobart - North East,60650
Hobart - North West,58775
Hobart - South and West,37388
Hobart Inner,56074
Sorell - Dodges Ferry,19262
Launceston,89706
Meander Valley - West Tamar,25011
North East,40816
Central Highlands (Tas.),12838
Huon - Bruny Island,22778
South East Coast,7848
Burnie - Ulverstone,51369
Devonport,49868
West Coast,18326
Darwin City,28403
Darwin Suburbs,57762
Litchfield,22642
Palmerston,40320
Alice Springs,40978
Barkly,6025
Daly - Tiwi - West Arnhem,18128
East Arnhem,14602
Katherine,21359
Belconnen,105987
Canberra East,1969
Gungahlin,88413
North Canberra,62556
South Canberra,32174
Tuggeranong,88856
Weston Creek,24440
Woden Valley,39192
Molonglo,12633
Uriarra - Namadgi,624
Christmas Island,1787
Cocos (Keeling) Islands,614
Jervis Bay,311
Norfolk Island,2213
