SA2_NAME16,Population
Waratah - North Lambton,12999
Wickham - Carrington - Tighes Hill,9511
Ballina,18748
Ballina Surrounds,18611
Bangalow,7125
Brunswick Heads - Ocean Shores,9284
Byron Bay,10911
Evans Head,5722
Lennox Head - Skennars Head,9392
Mullumbimby,9003
Casino,12344
Casino Surrounds,7453
Goonellabah,13780
Kyogle,7659
Lismore,14904
Lismore Surrounds,15855
Kingscliff - Fingal Head,14887
Murwillumbah,9482
Murwillumbah Surrounds,10463
Pottsville,14225
Tweed Heads,20771
Banora Point,16367
Terranora - North Tumbulgum,3345
Tweed Heads South,8429
Griffith (NSW),20531
Griffith Surrounds,12840
Leeton,10324
Narrandera,5912
Tumbarumba,3517
Tumut,6679
Tumut Surrounds,4750
Cootamundra,7718
Gundagai,3713
Junee,6384
Temora,6570
Wagga Wagga - East,16931
Wagga Wagga - North,5793
Wagga Wagga - South,22919
Wagga Wagga - West,11827
Wagga Wagga Surrounds,18174
Berry - Kangaroo Valley,9367
Callala Bay - Currarong,3595
Culburra Beach,5056
Ettrema - Sassafras - Budawang,62
Huskisson - Vincentia,4914
North Nowra - Bomaderry,16222
Nowra,23239
St Georges Basin - Erowal Bay,15410
Sussex Inlet - Berrara,4686
Tomerong - Wandandian - Woollamia,3747
Ulladulla,17222
Ulladulla Surrounds,5849
Bowral,13509
Hill Top - Colo Vale,6466
Mittagong,11012
Moss Vale - Berrima,10766
Robertson - Fitzroy Falls,3842
Southern Highlands,7205
Baulkham Hills - East,24736
Baulkham Hills (West) - Bella Vista,22129
Glenhaven,6327
West Pennant Hills,12392
Castle Hill - Central,7583
Castle Hill - East,5456
Castle Hill - North,12246
Castle Hill - South,10399
Castle Hill - West,5177
Cherrybrook,18825
Kellyville - East,17586
Kellyville - West,12494
Dural - Kenthurst - Wisemans Ferry,22550
Galston - Laughtondale,5458
Bilpin - Colo - St Albans,2805
Kurrajong Heights - Ebenezer,22325
Pitt Town - McGraths Hill,11688
Box Hill - Nelson,14532
North Kellyville,19055
Rouse Hill - Beaumont Hills,17711
Blacktown (East) - Kings Park,17244
Blacktown (North) - Marayong,20811
Doonside - Woodcroft,23459
Lalor Park - Kings Langley,25555
Blacktown - South,12675
Blacktown - West,17299
Seven Hills - Prospect,14866
Toongabbie - West,11701
Glenwood,15790
Acacia Gardens,3609
Quakers Hill,25043
